Property,Property Score,Unit Type,Location,Date Posted,Monthly Rent
Riverbend Lofts,3.2,3 Bed / 2.5 Bath,"Tucson, AZ",30d+,"$1,325 - $1,525 (RentPulse est.)"
The Whitmore,3.3,2BR/2BA,"Akron, OH",5d,"$1,000 - $1,300 (Landlord est.)"
The Juniper,,"Three Bed, Two Bath","Athens, GA",6d,
Waterford Place,4.4,3 bed 2 bath,"St. Louis, MO",3d,"$1,400 - $1,825 (Landlord est.)"
Greenway Crossing,3.9,One Bedroom / One Bath,"Little Rock, AR",12d,"$750 - $1,000 (Landlord est.)"
Brightwater Flats,4.2,3 Bedroom Townhouse,"Washington, DC",13d,"$2,875 - $3,325 (Landlord est.)"
Granite Falls Apartments,4.6,1 Bedroom Loft,"Indianapolis, IN",30d+,"$950 - $1,225 (RentPulse est.)"
Brightwater Flats,3.6,1BD/1BA,"Charlotte, NC",3d,"$1,225 - $1,625 (Landlord est.)"
Chestnut Hill Commons,4.0,2 Bed / 2 Bath - Renovated,"Bakersfield, CA",3d,"$1,450 - $1,900 (Landlord est.)"
The Landmark at Midtown,3.4,3 Bedroom Townhouse,,11d,"$1,950 - $2,200 (RentPulse est.)"
The Merchant Lofts,,1BR/1BA,"Providence, RI",4d,"$1,200 - $1,475 (RentPulse est.)"
Ironworks Lofts,2.9,Three Bedroom,"Dallas, TX",2d,"$2,075 - $2,825 (RentPulse est.)"
The Tessera,4.4,3 bed 2 bath,"Manassas, VA",1d,"$2,400 - $2,775 (Landlord est.)"
Brookside Manor,3.5,2BR/1BA,"Columbus, OH",5d,"$1,325 - $1,750 (RentPulse est.)"
Riverbend Lofts,4.7,"One Bed, One Bath","Fresno, CA",24d,"$1,050 - $1,425 (Landlord est.)"
Vintage Brick Lofts,2.7,1BR/1BA,"Orlando, FL",2d,
Maple Grove Commons,2.8,"Two Bed, Two Bath (Top Floor)","Denver, CO",30d+,"$1,875 - $2,600 (Landlord est.)"
Verdant Square,4.1,One Bedroom Apartment Home,"Minneapolis, MN",11d,"$1,000 - $1,100 (Landlord est.)"
"Pinnacle Living, Inc.",4.8,One Bedroom / One Bath,"Dayton, OH",3d,"$900 - $1,100 (Landlord est.)"
Granite Falls Apartments,2.4,2 Bedroom Apartment,"Nashville, TN",6d,"$1,575 - $1,775 (Landlord est.)"
Oakhaven Apartments,4.0,1 Bed/1 Bath (Corner Unit),"Reno, NV",12d,
Copperfield Commons,2.5,2BR/2BA,"Miami, FL",12d,"$1,750 - $2,550 (Landlord est.)"
The Ardmore,2.8,2 Bedroom Duplex,"Erie, PA",2d,"$950 - $1,300 (Landlord est.)"
The Ashford,4.1,4BR/2BA,"Fresno, CA",12d,"$1,800 - $2,325 (Landlord est.)"
The Hadley,3.0,1 Bed / 1 Bath,"Athens, GA",30d+,"$975 - $1,225 (RentPulse est.)"
Northgate Apartment Homes,3.7,3 bed 2 bath,"Chattanooga, TN",24d,"$1,275 - $1,700 (RentPulse est.)"
The Carlisle,3.1,1 Bedroom Garden Level,"St. Louis, MO",10d,"$1,025 - $1,325 (RentPulse est.)"
The Coventry,3.0,3 bed 2 bath,"Wichita, KS",4d,"$1,275 - $1,725 (Landlord est.)"
The Hollis,4.4,2BD/2BA,"Tucson, AZ",2d,"$1,300 - $1,900 (RentPulse est.)"
The Hadley,3.4,2 Bed / 2 Bath,Dallas-Fort Worth,4d,"$1,700 - $1,975 (RentPulse est.)"
The Rowan,4.0,"One Bed, One Bath","Omaha, NE",1d,"$800 - $1,000 (RentPulse est.)"
Emerald Bay Apartments,4.5,1BR,"Colorado Springs, CO",30d+,"$1,175 - $1,600 (Landlord est.)"
The Whitmore,4.1,1 Bed / 1 Bath,"Chicago, IL",5d,
Barrett Square Apartments,3.0,One Bedroom,"Wichita, KS",10d,"$900 - $1,050 (Landlord est.)"
"The Yards at Ohio River, Tower A",2.4,Studio (Utilities Included),"Aguadilla, PR",10d,$575 - $750 (Landlord est.)
Sunset Ridge Apartments,3.3,Five Bedroom House,"Memphis, TN",30d+,"$1,500 - $2,075 (Landlord est.)"
"Pinnacle Living, Inc.",3.0,"One Bed, One Bath","Richmond, VA",3d,"$1,075 - $1,375 (Landlord est.)"
Sycamore Court,3.3,3 bed 2 bath,Minneapolis-Saint Paul,4d,"$1,750 - $2,000 (Landlord est.)"
The Ashford,2.6,2BD/2BA,"Salt Lake City, UT",5d,"$1,325 - $1,925 (Landlord est.)"
Birchwood Estates,3.3,1 Bed / 1.5 Bath,"Colorado Springs, CO",30d+,"$1,025 - $1,350 (RentPulse est.)"
The Beacon on Main,4.6,3 Bedroom Apartment,"Memphis, TN",7d,"$1,475 - $1,950 (Landlord est.)"
"Lakeview Commons, Phase II",,2 bed 2 bath,"Seattle, WA",2d,"$1,975 - $2,625 (RentPulse est.)"
Rosewood Terrace,4.1,1 Bedroom Garden Level,"Dallas, TX",30d+,"$1,025 - $1,300 (Landlord est.)"
The Beacon on Main,4.0,1 Bedroom Apartment,"Cleveland, OH",2d,"$950 - $1,150 (Landlord est.)"
Northgate Apartment Homes,4.4,2 Bedroom Townhome,Minneapolis-Saint Paul,30d+,"$1,300 - $1,725 (Landlord est.)"
Brookside Manor,,Three Bedroom,"Albuquerque, NM",3d,"$1,325 - $1,625 (RentPulse est.)"
Ironworks Lofts,,Two Bedroom / Two Bath,"State College, PA",28d,"$1,350 - $1,925 (RentPulse est.)"
Meridian Court,,One Bedroom Apartment Home,"New York, NY",30d+,"$2,050 - $3,000 (RentPulse est.)"
Hawthorne Place,3.0,Three Bedroom Townhome,"San Francisco, CA",1d,"$3,525 - $5,075 (Landlord est.)"
The Paxton,,2BR/2BA,"Farmington Hills, MI",2d,"$1,150 - $1,525 (RentPulse est.)"
Granite Falls Apartments,2.8,2 Bedroom Townhome,"Kansas City, MO",30d+,"$1,175 - $1,350 (RentPulse est.)"
The Bellamy,4.3,1BR/1BA,"Ithaca, NY",12d,
The Windermere,2.3,2BR,"Fresno, CA",3d,
"Hartwell Properties, Inc.",4.7,3 Bedroom Townhouse,"Phoenix, AZ",4d,"$1,950 - $2,625 (Landlord est.)"
Oakhaven Apartments,2.6,3 Bedroom Apartment,"Providence, RI",11d,
The Sterling,3.4,4 bed 2 bath,"Atlanta, GA",12d,"$2,700 - $3,675 (Landlord est.)"
Tanglewood Apartments,4.0,1 bed 1 bath,Minneapolis-Saint Paul,30d+,
Quarry Hill Apartments,4.1,Two Bedroom,"Dallas, TX",8d,"$1,700 - $2,225 (RentPulse est.)"
Meridian Court,3.6,1 bed 1 bath,"Chicago, IL",30d+,
Cypress Creek Village,3.4,2 bed 2 bath,"Philadelphia, PA",2d,"$1,600 - $2,000 (RentPulse est.)"
Autumn Ridge Apartments,3.5,Four Bedroom,"Cleveland, OH",9d,
The Tessera,3.3,1 Bed / 1 Bath,"Philadelphia, PA",11d,"$1,200 - $1,750 (Landlord est.)"
Fieldstone Commons,3.8,1 Bed / 1 Bath,"Chattanooga, TN",11d,"$925 - $1,075 (Landlord est.)"
Quarry Hill Apartments,4.3,3 Bed / 2 Bath - Garage Included,"Spokane, WA",2d,"$1,575 - $1,875 (Landlord est.)"
Parkview Terrace,4.1,2 Bed / 1.5 Bath,"Atlanta, GA",11d,"$1,550 - $1,925 (RentPulse est.)"
"Hartwell Properties, Inc.",4.1,1BD/1BA,"Colorado Springs, CO",30d+,"$1,200 - $1,550 (Landlord est.)"
The Sterling,3.6,Two Bedroom,"Minneapolis, MN",6d,"$1,575 - $1,825 (Landlord est.)"
Riverbend Lofts,4.3,2 Bed / 1 Bath,"Raleigh, NC",4d,"$1,450 - $1,600 (Landlord est.)"
The Sterling,3.0,1BD/1BA,"Bloomington, IN",1d,$825 - $950 (Landlord est.)
Copperfield Commons,2.7,2 Bed / 2 Bath - Renovated,"Kansas City, MO",30d+,"$1,100 - $1,450 (RentPulse est.)"
The Larkspur,4.5,3BR/2BA,"Madison, WI",10d,"$1,800 - $2,600 (Landlord est.)"
The Windermere,3.4,2 bed 2 bath,Central New Jersey,2d,"$1,700 - $2,425 (Landlord est.)"
Arbor Lane Apartments,3.8,"2 Bed, 2 Bath, Den","Fresno, CA",5d,"$1,300 - $1,650 (RentPulse est.)"
The Dover,4.3,1 Bed/1 Bath (Corner Unit),"Memphis, TN",5d,"$900 - $1,150 (RentPulse est.)"
The Weatherby,3.1,Two Bedroom / Two Bath,"Austin, TX",18d,"$1,600 - $1,800 (RentPulse est.)"
The Merchant Lofts,3.5,3 bed 2 bath,"Austin, TX",2d,"$2,225 - $2,575 (RentPulse est.)"
The Hadley,2.4,One Bedroom Apartment Home,"Fort Wayne, IN",6d,$800 - $950 (Landlord est.)
Hawthorne Place,3.4,1BR/1BA,"Akron, OH",30d+,"$850 - $1,050 (Landlord est.)"
Lakeshore Landing,2.8,1BD/1BA,Central New Jersey,30d+,"$1,500 - $2,100 (Landlord est.)"
Fern Hollow Apartments,3.4,2BR,Greater Boston Area,1d,"$2,175 - $3,200 (Landlord est.)"
Hawthorne Place,,Two Bedroom / Two Bath,"Denver, CO",1d,"$1,775 - $2,475 (RentPulse est.)"
The Dover,3.3,Two Bedroom / Two Bath,"Los Angeles, CA",13d,"$2,175 - $2,500 (Landlord est.)"
The Bellamy,3.7,studio,"Washington, DC",2d,"$1,175 - $1,725 (Landlord est.)"
Thistlewood Commons,3.2,1 Bed / 1.5 Bath,"State College, PA",3d,"$1,050 - $1,550 (RentPulse est.)"
Mill District Lofts,3.0,2 Bed / 1.5 Bath,"Dallas, TX",30d+,"$1,475 - $1,675 (Landlord est.)"
Station Square Residences,3.9,One Bedroom / One Bath,"Toledo, OH",12d,$725 - $875 (Landlord est.)
Hawthorne Place,4.2,3 Bedroom House,"Nashville, TN",4d,"$2,150 - $3,175 (Landlord est.)"
The Overlook at Shadyside,3.0,1BD/1BA,"Akron, OH",7d,"$775 - $1,100 (RentPulse est.)"
The Juniper,3.0,2 Bed / 1.5 Bath,"Orlando, FL",20d,"$1,600 - $2,350 (RentPulse est.)"
"Beacon Residential Group, LLC",,3 bed 2 bath,,28d,"$1,350 - $1,700 (Landlord est.)"
"Lakeview Commons, Phase II",3.4,1BR/1BA,Lehigh Valley,30d+,"$925 - $1,250 (Landlord est.)"
Brightwater Flats,2.8,2 Bedroom - Washer/Dryer in Unit,"Buffalo, NY",14d,"$1,275 - $1,425 (Landlord est.)"
The Dover,4.4,2 Bed / 2 Bath - Renovated,"Austin, TX",9d,"$1,500 - $1,725 (RentPulse est.)"
"Lakeview Commons, Phase II",3.0,1BR,"Bloomington, IN",3d,"$875 - $1,200 (RentPulse est.)"
Quarry Hill Apartments,4.2,2 Bed / 2 Bath - Renovated,"Des Moines, IA",14d,"$1,025 - $1,125 (Landlord est.)"
Verdant Square,4.2,2 Bedroom Duplex,"Ann Arbor, MI",2d,"$1,450 - $1,925 (RentPulse est.)"
The Ashford,,1 Bedroom - Upgraded Finishes,"Tampa, FL",2d,"$1,300 - $1,875 (Landlord est.)"
Pebble Brook Village,3.3,1 Bed/1 Bath (Corner Unit),"Seattle, WA",30d+,"$1,425 - $1,950 (Landlord est.)"
Sycamore Court,4.5,3BR/2.5BA,"Richmond, VA",30d+,"$1,625 - $1,800 (RentPulse est.)"
Autumn Ridge Apartments,2.8,2 bed 2 bath,"Bakersfield, CA",4d,"$1,175 - $1,400 (Landlord est.)"
The Dover,3.7,Micro Studio,"Fresno, CA",2d,"$800 - $1,075 (RentPulse est.)"
Maple Grove Commons,3.2,3 Bedroom Townhouse,"San Jose, CA",30d+,"$3,225 - $4,675 (RentPulse est.)"
The Merchant Lofts,4.4,3 Bedroom House,"San Diego, CA",3d,"$2,775 - $4,000 (Landlord est.)"
Sycamore Court,4.2,4 bed 2 bath,"San Jose, CA",10d,"$3,625 - $4,975 (Landlord est.)"
Thistlewood Commons,,2 Bed / 2 Bath - Renovated,"State College, PA",2d,"$1,375 - $1,950 (Landlord est.)"
Sycamore Court,3.0,4 Bed / 2 Bath,"San Diego, CA",2d,"$3,275 - $3,700 (RentPulse est.)"
Oakhaven Apartments,,4 Bed / 2 Bath,"New Orleans, LA",13d,"$2,225 - $2,550 (RentPulse est.)"
Kingsley Park Apartments,3.3,1 bed 1 bath,"Morgantown, WV",30d+,"$950 - $1,225 (Landlord est.)"
Copperfield Commons,3.0,4 Bed / 4 Bath - Student Housing,Research Triangle,5d,"$2,125 - $2,975 (Landlord est.)"
The Ardmore,2.9,1 Bedroom Apartment,Dallas-Fort Worth,12d,"$1,050 - $1,175 (Landlord est.)"
Riverbend Lofts,4.2,"Three Bed, Two Bath","Las Vegas, NV",5d,"$1,950 - $2,575 (Landlord est.)"
Quarry Hill Apartments,3.8,2 Bed / 1.5 Bath,"Indianapolis, IN",30d+,"$1,075 - $1,350 (Landlord est.)"
Meridian Court,4.0,Two Bedroom / Two Bath,"Ann Arbor, MI",13d,
The Merchant Lofts,3.5,3 Bedroom Apartment,"Atlanta, GA",3d,"$1,925 - $2,625 (Landlord est.)"
Stonebridge Village,3.9,1 Bed / 1.5 Bath,"Ithaca, NY",5d,"$1,125 - $1,350 (RentPulse est.)"
Vintage Brick Lofts,4.1,1 Bed / 1 Bath,"Minneapolis, MN",14d,"$1,275 - $1,500 (Landlord est.)"
Birchwood Estates,3.5,Two Bedroom Apartment Home,"Tucson, AZ",7d,
Oakhaven Apartments,2.6,1BR/1BA,"Little Rock, AR",11d,$775 - $850 (Landlord est.)
Trailside at Fox Run,3.5,2 bed 2 bath,"Portland, OR",7d,"$1,750 - $2,100 (Landlord est.)"
Crestline Apartments,3.4,1 Bed / 1.5 Bath,"Dayton, OH",30d+,"$800 - $1,050 (RentPulse est.)"
The Whitmore,,"Three Bed, Two Bath","Colorado Springs, CO",14d,"$1,775 - $2,125 (RentPulse est.)"
Quarry Hill Apartments,3.3,"2 Bed, 2 Bath, Den","Nashville, TN",9d,"$1,425 - $1,825 (Landlord est.)"
Kingsley Park Apartments,3.8,1 bed 1 bath,"Milwaukee, WI",20d,"$1,050 - $1,350 (Landlord est.)"
Sycamore Court,4.0,1BR,"Aguadilla, PR",2d,"$750 - $1,050 (RentPulse est.)"
The Beacon on Main,3.5,Studio Loft,"Portland, OR",7d,"$1,100 - $1,550 (RentPulse est.)"
Brookside Manor,4.1,1 Bedroom Apartment,"Little Rock, AR",30d+,"$925 - $1,150 (Landlord est.)"
Greenway Crossing,4.7,1BR/1BA,"Providence, RI",18d,"$1,375 - $1,725 (Landlord est.)"
Tanglewood Apartments,4.8,Two Bedroom / Two Bath,"Milwaukee, WI",8d,"$1,150 - $1,300 (RentPulse est.)"
Summit House,2.7,Two Bedroom,"Tampa, FL",30d+,"$1,575 - $2,125 (RentPulse est.)"
Quarry Hill Apartments,3.5,Three Bedroom Townhome,"Little Rock, AR",2d,
Thistlewood Commons,4.1,2 Bed / 1.5 Bath,"Washington, DC",2d,"$2,200 - $2,675 (RentPulse est.)"
The Beacon on Main,4.1,Two Bedroom / Two Bath,United States,30d+,"$1,350 - $1,950 (Landlord est.)"
"Crown Ridge Residential, LLC",4.2,3BD/2BA,"San Francisco, CA",4d,"$3,525 - $5,125 (RentPulse est.)"
Cedar Ridge Village,4.4,One Bedroom / One Bath,"New Orleans, LA",1d,"$1,025 - $1,425 (Landlord est.)"
Pinecrest Gardens,,2 Bed / 1 Bath,"Wichita, KS",21d,"$975 - $1,225 (Landlord est.)"
Harborview Commons,2.8,1 Bed / 1 Bath,Inland Empire,30d+,"$1,200 - $1,650 (RentPulse est.)"
Chestnut Hill Commons,4.0,TWO BEDROOM,"Indianapolis, IN",3d,"$1,375 - $2,025 (RentPulse est.)"
Hawthorne Place,3.3,2BR/1BA,"Dayton, OH",4d,"$950 - $1,250 (Landlord est.)"
The Windermere,3.3,2 Bedroom Apartment,"Seattle, WA",2d,"$2,100 - $2,400 (RentPulse est.)"
Quarry Hill Apartments,4.0,2 bed 2 bath,"Sacramento, CA",3d,"$1,975 - $2,450 (Landlord est.)"
The Juniper,3.8,2 Bedroom - Washer/Dryer in Unit,"Des Moines, IA",30d+,"$1,025 - $1,500 (Landlord est.)"
The Dover,3.1,3 Bed / 2 Bath,"Ithaca, NY",30d+,"$1,625 - $2,075 (RentPulse est.)"
The Paxton,4.2,3 Bed / 2 Bath - Garage Included,"San Diego, CA",8d,
Willow Creek Apartments,4.3,2 Bed / 1 Bath,"Spokane, WA",12d,"$1,300 - $1,475 (Landlord est.)"
"Beacon Residential Group, LLC",3.9,"2 Bed, 2 Bath, Den","Atlanta, GA",5d,"$1,375 - $1,950 (Landlord est.)"
Chestnut Hill Commons,4.5,One Bedroom / One Bath,"Boston, MA",3d,"$1,900 - $2,375 (RentPulse est.)"
The Tessera,3.6,One Bedroom / One Bath,"Colorado Springs, CO",2d,
Silverleaf Apartments,2.9,1BR,Central New Jersey,26d,"$1,300 - $1,500 (Landlord est.)"
Cedar Ridge Village,3.2,Four Bedroom,"Houston, TX",2d,"$1,875 - $2,600 (Landlord est.)"
Cedar Ridge Village,4.0,Studio / Open Floor Plan,"Louisville, KY",5d,"$700 - $1,025 (Landlord est.)"
Cedar Ridge Village,3.2,3 Bed / 2 Bath,"Scranton, PA",30d+,"$1,150 - $1,500 (RentPulse est.)"
Lakeshore Landing,2.7,4 Bed / 2 Bath,"Toledo, OH",9d,"$1,650 - $2,325 (RentPulse est.)"
Cedar Ridge Village,,5 Bed / 3 Bath,"Manassas, VA",10d,"$2,450 - $3,100 (Landlord est.)"
The Landmark at Midtown,3.9,"Two Bed, Two Bath (Top Floor)","Portland, OR",2d,"$1,600 - $2,350 (RentPulse est.)"
Bayside Apartment Homes,4.0,3 bed 2 bath,"Fort Wayne, IN",24d,"$1,425 - $2,025 (RentPulse est.)"
Spring Garden Commons,3.8,"Three Bed, Two Bath","Birmingham, AL",9d,"$1,275 - $1,675 (Landlord est.)"
Pinecrest Gardens,4.0,2 Bedroom Duplex,"Salt Lake City, UT",1d,"$1,625 - $2,100 (RentPulse est.)"
Bayside Apartment Homes,4.1,"Two Bed, Two Bath (Top Floor)","Wichita, KS",3d,
The Beacon on Main,3.4,1 Bedroom - Upgraded Finishes,"Seattle, WA",5d,"$1,550 - $2,100 (RentPulse est.)"
Pinecrest Gardens,3.5,"One Bed, One Bath","San Diego, CA",13d,
Willow Creek Apartments,3.9,One Bedroom,"Houston, TX",30d+,"$1,100 - $1,525 (RentPulse est.)"
Chestnut Hill Commons,2.5,3 Bed / 2 Bath,"Orlando, FL",12d,"$2,075 - $2,675 (RentPulse est.)"
"Beacon Residential Group, LLC",3.7,1 Bedroom Apartment,"Salt Lake City, UT",4d,"$1,050 - $1,200 (Landlord est.)"
Pinecrest Gardens,3.0,1 Bedroom Garden Level,United States,3d,"$1,050 - $1,275 (Landlord est.)"
Copperfield Commons,3.5,studio,United States,30d+,"$825 - $1,125 (Landlord est.)"
Highland Row,3.6,One Bedroom / One Bath,"Madison, WI",3d,"$1,225 - $1,700 (RentPulse est.)"
The Overlook at Shadyside,3.6,2BR,Inland Empire,9d,"$1,550 - $1,925 (RentPulse est.)"
Cypress Creek Village,3.7,Two Bedroom,"Nashville, TN",30d+,
Maple Grove Commons,3.1,2 bed 2 bath,"Louisville, KY",2d,
Cedar Ridge Village,3.6,2BR/2BA,"Toledo, OH",30d+,"$1,125 - $1,550 (RentPulse est.)"
"Hartwell Properties, Inc.",4.2,2BR,"Tampa, FL",4d,"$1,825 - $2,150 (RentPulse est.)"
Meridian Court,3.3,3 Bed / 2 Bath - Garage Included,"Tucson, AZ",5d,"$1,450 - $1,825 (Landlord est.)"
Autumn Ridge Apartments,3.8,3 bed 2 bath,"St. Louis, MO",2d,"$1,525 - $1,700 (Landlord est.)"
The Bellamy,3.7,1 Bed / 1 Bath,"Atlanta, GA",4d,"$1,200 - $1,500 (Landlord est.)"
Trailside at Fox Run,3.6,2 Bedroom - Washer/Dryer in Unit,"Hartford, CT",7d,"$1,675 - $2,425 (RentPulse est.)"
Verdant Square,4.3,1 Bed/1 Bath (Corner Unit),"Salt Lake City, UT",12d,
Barrett Square Apartments,4.2,3 Bed / 2 Bath - Garage Included,"Bakersfield, CA",30d+,"$1,700 - $2,450 (RentPulse est.)"
Canal Street Flats,3.5,Studio,"Orlando, FL",30d+,"$950 - $1,075 (Landlord est.)"
Emerald Bay Apartments,4.3,1 Bedroom Loft,"Pittsburgh, PA",2d,
Parkview Terrace,3.5,2 bed 2 bath,"Scranton, PA",4d,"$975 - $1,125 (RentPulse est.)"
Northgate Apartment Homes,3.9,3 Bed / 2 Bath - Garage Included,"San Francisco, CA",30d+,"$3,525 - $4,700 (Landlord est.)"
Pinecrest Gardens,3.1,1 Bed / 1.5 Bath,"Alpharetta, GA",4d,"$1,100 - $1,500 (Landlord est.)"
Bayside Apartment Homes,3.5,2 Bed / 1 Bath,Multiple Locations,30d+,"$1,375 - $1,850 (Landlord est.)"
Pebble Brook Village,3.3,3BD/2BA,"Omaha, NE",3d,"$1,550 - $1,875 (Landlord est.)"
Autumn Ridge Apartments,3.8,Five Bedroom House,"Manassas, VA",6d,"$2,600 - $3,775 (RentPulse est.)"
Barrett Square Apartments,3.6,Two Bedroom / Two Bath,"Las Vegas, NV",4d,"$1,350 - $1,650 (RentPulse est.)"
The Carlisle,,2 Bed / 1 Bath,"State College, PA",30d+,"$1,175 - $1,675 (RentPulse est.)"
Ironworks Lofts,4.5,1BD/1BA,"Little Rock, AR",18d,"$725 - $1,025 (Landlord est.)"
