_id,date,center_name,attendance_count
93,2018-05-23,Jefferson Community Center,55
94,2018-05-23,Brookline Community Center,47
95,2018-05-23,West Penn Community Center,57
96,2018-05-23,Warrington Community Center,18
97,2018-05-22,Ormsby Community Center,21
98,2018-05-22,Paulson Community Center,25
99,2018-05-22,Phillips Community Center,97
100,2018-05-22,Ammon Community Center,135
101,2018-05-22,Brookline Community Center,68
102,2018-05-22,Jefferson Community Center,44
103,2018-05-22,Warrington Community Center,16
104,2018-05-22,West Penn Community Center,76
105,2018-05-21,Phillips Community Center,180
106,2018-05-21,Paulson Community Center,15
107,2018-05-21,Ormsby Community Center,51
108,2018-05-21,Ammon Community Center,111
109,2018-05-21,Jefferson Community Center,48
110,2018-05-21,Brookline Community Center,54
111,2018-05-21,West Penn Community Center,66
112,2018-05-21,Warrington Community Center,17
113,2018-05-19,Phillips Community Center,62
114,2018-05-19,Brookline Community Center,6
115,2018-05-19,West Penn Community Center,41
116,2018-05-18,Phillips Community Center,119
117,2018-05-18,Ormsby Community Center,16
118,2018-05-18,Paulson Community Center,7
119,2018-05-18,Brookline Community Center,29
120,2018-05-18,Jefferson Community Center,37
121,2018-05-18,West Penn Community Center,39
122,2018-05-18,Warrington Community Center,17
123,2018-05-17,Paulson Community Center,19
124,2018-05-17,Ormsby Community Center,54
125,2018-05-17,Phillips Community Center,112
126,2018-05-17,Ammon Community Center,54
127,2018-05-17,Jefferson Community Center,37
128,2018-05-17,Brookline Community Center,20
129,2018-05-17,Warrington Community Center,21
130,2018-05-17,West Penn Community Center,123
131,2018-05-16,Phillips Community Center,122
132,2018-05-16,Ormsby Community Center,43
133,2018-05-16,Paulson Community Center,18
134,2018-05-16,Ammon Community Center,79
135,2018-05-16,Brookline Community Center,65
136,2018-05-16,Jefferson Community Center,43
137,2018-05-16,West Penn Community Center,56
138,2018-05-16,Warrington Community Center,10
139,2018-05-15,Paulson Community Center,27
140,2018-05-15,Ormsby Community Center,48
141,2018-05-15,Phillips Community Center,183
142,2018-05-15,Ammon Community Center,34
143,2018-05-15,Jefferson Community Center,40
144,2018-05-15,Brookline Community Center,1
145,2018-05-15,West Penn Community Center,74
146,2018-05-14,Phillips Community Center,127
147,2018-05-14,Ormsby Community Center,53
148,2018-05-14,Paulson Community Center,25
149,2018-05-14,Ammon Community Center,114
150,2018-05-14,Brookline Community Center,46
151,2018-05-14,West Penn Community Center,45
152,2018-05-14,Warrington Community Center,30
153,2018-05-12,Phillips Community Center,20
154,2018-05-12,Brookline Community Center,30
155,2018-05-12,West Penn Community Center,34
156,2018-05-11,Phillips Community Center,91
157,2018-05-11,Paulson Community Center,28
158,2018-05-11,Ormsby Community Center,41
159,2018-05-11,Brookline Community Center,24
160,2018-05-11,West Penn Community Center,54
161,2018-05-11,Warrington Community Center,16
162,2018-05-10,Ormsby Community Center,47
163,2018-05-10,Paulson Community Center,26
164,2018-05-10,Phillips Community Center,118
165,2018-05-10,Ammon Community Center,63
166,2018-05-10,Brookline Community Center,44
167,2018-05-10,Warrington Community Center,22
168,2018-05-10,West Penn Community Center,113
169,2018-05-09,Phillips Community Center,150
170,2018-05-09,Paulson Community Center,29
171,2018-05-09,Ormsby Community Center,39
172,2018-05-09,Ammon Community Center,44
173,2018-05-09,Brookline Community Center,56
174,2018-05-09,West Penn Community Center,61
175,2018-05-09,Warrington Community Center,15
176,2018-05-08,Ormsby Community Center,34
177,2018-05-08,Paulson Community Center,29
178,2018-05-08,Phillips Community Center,150
179,2018-05-08,Ammon Community Center,98
180,2018-05-08,Brookline Community Center,68
181,2018-05-08,Warrington Community Center,27
182,2018-05-08,West Penn Community Center,76
183,2018-05-07,Phillips Community Center,176
184,2018-05-07,Paulson Community Center,29
185,2018-05-07,Ormsby Community Center,21
186,2018-05-07,Ammon Community Center,56
187,2018-05-07,Brookline Community Center,66
188,2018-05-07,West Penn Community Center,34
189,2018-05-07,Warrington Community Center,24
190,2018-05-05,Phillips Community Center,26
191,2018-05-05,Brookline Community Center,20
192,2018-05-05,West Penn Community Center,52
193,2018-05-04,Phillips Community Center,96
194,2018-05-04,Ormsby Community Center,40
195,2018-05-04,Paulson Community Center,27
196,2018-05-04,Ammon Community Center,84
197,2018-05-04,Brookline Community Center,27
198,2018-05-04,West Penn Community Center,46
199,2018-05-04,Warrington Community Center,7
200,2018-05-03,Paulson Community Center,17
201,2018-05-03,Ormsby Community Center,52
202,2018-05-03,Phillips Community Center,127
203,2018-05-03,Ammon Community Center,92
204,2018-05-03,Brookline Community Center,47
205,2018-05-03,Jefferson Community Center,25
206,2018-05-03,Warrington Community Center,14
207,2018-05-03,West Penn Community Center,124
208,2018-05-02,Phillips Community Center,136
209,2018-05-02,Ormsby Community Center,48
210,2018-05-02,Paulson Community Center,30
211,2018-05-02,Ammon Community Center,74
212,2018-05-02,Jefferson Community Center,49
213,2018-05-02,Brookline Community Center,58
214,2018-05-02,West Penn Community Center,51
215,2018-05-02,Warrington Community Center,14
216,2018-05-01,Paulson Community Center,13
217,2018-05-01,Ormsby Community Center,43
218,2018-05-01,Phillips Community Center,123
219,2018-05-01,Ammon Community Center,99
220,2018-05-01,Brookline Community Center,49
221,2018-05-01,Magee Community Center,2
222,2018-05-01,Warrington Community Center,14
223,2018-05-01,West Penn Community Center,52
224,2018-04-30,Phillips Community Center,128
225,2018-04-30,Ormsby Community Center,61
226,2018-04-30,Paulson Community Center,16
227,2018-04-30,Ammon Community Center,27
228,2018-04-30,Brookline Community Center,48
229,2018-04-30,Jefferson Community Center,28
230,2018-04-30,West Penn Community Center,42
231,2018-04-30,Warrington Community Center,25
232,2018-04-28,Phillips Community Center,12
233,2018-04-28,Ammon Community Center,14
234,2018-04-28,Brookline Community Center,13
235,2018-04-28,West Penn Community Center,44
236,2018-04-27,Phillips Community Center,107
237,2018-04-27,Paulson Community Center,27
238,2018-04-27,Ormsby Community Center,63
239,2018-04-27,Ammon Community Center,86
240,2018-04-27,Brookline Community Center,46
241,2018-04-27,Jefferson Community Center,14
242,2018-04-27,West Penn Community Center,37
243,2018-04-27,Warrington Community Center,18
244,2018-04-26,Ormsby Community Center,45
245,2018-04-26,Paulson Community Center,21
246,2018-04-26,Phillips Community Center,101
247,2018-04-26,Ammon Community Center,98
248,2018-04-26,Jefferson Community Center,32
249,2018-04-26,Brookline Community Center,52
250,2018-04-26,Warrington Community Center,28
251,2018-04-26,West Penn Community Center,113
252,2018-04-25,Phillips Community Center,199
253,2018-04-25,Paulson Community Center,22
254,2018-04-25,Ormsby Community Center,57
255,2018-04-25,Ammon Community Center,91
256,2018-04-25,Brookline Community Center,57
257,2018-04-25,Jefferson Community Center,31
258,2018-04-25,West Penn Community Center,71
259,2018-04-25,Warrington Community Center,20
260,2018-04-24,Ormsby Community Center,35
261,2018-04-24,Paulson Community Center,16
262,2018-04-24,Phillips Community Center,112
263,2018-04-24,Ammon Community Center,114
264,2018-04-24,Jefferson Community Center,21
265,2018-04-24,Brookline Community Center,75
266,2018-04-24,Warrington Community Center,38
267,2018-04-24,West Penn Community Center,149
268,2018-04-23,Phillips Community Center,163
269,2018-04-23,Paulson Community Center,11
270,2018-04-23,Ormsby Community Center,61
271,2018-04-23,Ammon Community Center,94
272,2018-04-23,Brookline Community Center,65
273,2018-04-23,Jefferson Community Center,41
274,2018-04-23,West Penn Community Center,68
275,2018-04-23,Warrington Community Center,41
276,2018-04-21,Phillips Community Center,15
277,2018-04-21,Brookline Community Center,28
278,2018-04-21,West Penn Community Center,38
279,2018-04-20,Phillips Community Center,128
280,2018-04-20,Ormsby Community Center,75
281,2018-04-20,Paulson Community Center,22
282,2018-04-20,Ammon Community Center,92
283,2018-04-20,Brookline Community Center,39
284,2018-04-20,Jefferson Community Center,27
285,2018-04-20,Magee Community Center,17
286,2018-04-20,West Penn Community Center,38
287,2018-04-20,Warrington Community Center,28
288,2018-04-19,Paulson Community Center,20
289,2018-04-19,Ormsby Community Center,56
290,2018-04-19,Phillips Community Center,101
291,2018-04-19,Ammon Community Center,100
292,2018-04-19,Magee Community Center,13
293,2018-04-19,Jefferson Community Center,26
294,2018-04-19,Brookline Community Center,51
295,2018-04-19,Warrington Community Center,41
296,2018-04-19,West Penn Community Center,122
297,2018-04-18,Phillips Community Center,115
298,2018-04-18,Ormsby Community Center,59
299,2018-04-18,Paulson Community Center,20
300,2018-04-18,Ammon Community Center,86
301,2018-04-18,Brookline Community Center,60
302,2018-04-18,Jefferson Community Center,43
303,2018-04-18,Magee Community Center,14
304,2018-04-18,West Penn Community Center,75
305,2018-04-18,Warrington Community Center,15
306,2018-04-17,Paulson Community Center,17
307,2018-04-17,Ormsby Community Center,60
308,2018-04-17,Phillips Community Center,73
309,2018-04-17,Ammon Community Center,94
310,2018-04-17,Magee Community Center,13
311,2018-04-17,Jefferson Community Center,27
312,2018-04-17,Brookline Community Center,31
313,2018-04-17,Warrington Community Center,35
314,2018-04-17,West Penn Community Center,114
315,2018-04-16,Phillips Community Center,132
316,2018-04-16,Ormsby Community Center,52
317,2018-04-16,Paulson Community Center,21
318,2018-04-16,Ammon Community Center,83
319,2018-04-16,Brookline Community Center,54
320,2018-04-16,Jefferson Community Center,35
321,2018-04-16,Magee Community Center,15
322,2018-04-16,West Penn Community Center,42
323,2018-04-16,Warrington Community Center,10
324,2018-04-14,Magee Community Center,18
325,2018-04-14,Brookline Community Center,35
326,2018-04-14,West Penn Community Center,28
327,2018-04-13,Paulson Community Center,18
328,2018-04-13,Ormsby Community Center,63
329,2018-04-13,Phillips Community Center,107
330,2018-04-13,Ammon Community Center,62
378,2018-04-06,Ammon Community Center,53
331,2018-04-13,Brookline Community Center,34
332,2018-04-13,Magee Community Center,35
333,2018-04-13,West Penn Community Center,25
334,2018-04-13,Warrington Community Center,27
335,2018-04-12,Phillips Community Center,129
336,2018-04-12,Ormsby Community Center,51
337,2018-04-12,Paulson Community Center,24
338,2018-04-12,Ammon Community Center,104
339,2018-04-12,Magee Community Center,24
340,2018-04-12,Brookline Community Center,42
341,2018-04-12,Jefferson Community Center,26
342,2018-04-12,Warrington Community Center,19
343,2018-04-12,West Penn Community Center,104
344,2018-04-11,Paulson Community Center,36
345,2018-04-11,Ormsby Community Center,55
346,2018-04-11,Phillips Community Center,168
347,2018-04-11,Ammon Community Center,79
348,2018-04-11,Jefferson Community Center,43
349,2018-04-11,Brookline Community Center,65
350,2018-04-11,Magee Community Center,18
351,2018-04-11,West Penn Community Center,48
352,2018-04-11,Warrington Community Center,47
353,2018-04-10,Phillips Community Center,144
354,2018-04-10,Ormsby Community Center,58
355,2018-04-10,Paulson Community Center,22
356,2018-04-10,Ammon Community Center,118
357,2018-04-10,Magee Community Center,42
358,2018-04-10,Brookline Community Center,37
359,2018-04-10,Jefferson Community Center,24
360,2018-04-10,Warrington Community Center,38
361,2018-04-10,West Penn Community Center,55
362,2018-04-09,Paulson Community Center,21
363,2018-04-09,Ormsby Community Center,45
364,2018-04-09,Phillips Community Center,125
365,2018-04-09,Ammon Community Center,121
366,2018-04-09,Jefferson Community Center,29
367,2018-04-09,Brookline Community Center,57
368,2018-04-09,Magee Community Center,36
369,2018-04-09,West Penn Community Center,61
370,2018-04-09,Warrington Community Center,23
371,2018-04-07,Phillips Community Center,21
372,2018-04-07,Ammon Community Center,30
373,2018-04-07,Brookline Community Center,51
374,2018-04-07,West Penn Community Center,39
375,2018-04-06,Phillips Community Center,101
376,2018-04-06,Ormsby Community Center,71
377,2018-04-06,Paulson Community Center,21
379,2018-04-06,Brookline Community Center,37
380,2018-04-06,Jefferson Community Center,29
381,2018-04-06,Magee Community Center,43
382,2018-04-06,West Penn Community Center,48
383,2018-04-06,Warrington Community Center,23
384,2018-04-05,Paulson Community Center,21
385,2018-04-05,Ormsby Community Center,52
386,2018-04-05,Phillips Community Center,112
387,2018-04-05,Ammon Community Center,55
388,2018-04-05,Magee Community Center,39
389,2018-04-05,Jefferson Community Center,41
390,2018-04-05,Brookline Community Center,42
391,2018-04-05,Warrington Community Center,7
392,2018-04-05,West Penn Community Center,134
393,2018-04-04,Phillips Community Center,130
394,2018-04-04,Ormsby Community Center,63
395,2018-04-04,Paulson Community Center,17
396,2018-04-04,Ammon Community Center,119
397,2018-04-04,Brookline Community Center,71
398,2018-04-04,Jefferson Community Center,43
399,2018-04-04,Magee Community Center,51
400,2018-04-04,West Penn Community Center,27
401,2018-04-04,Warrington Community Center,12
402,2018-04-03,Paulson Community Center,20
403,2018-04-03,Ormsby Community Center,69
404,2018-04-03,Phillips Community Center,89
405,2018-04-03,Ammon Community Center,115
406,2018-04-03,Magee Community Center,42
407,2018-04-03,Jefferson Community Center,31
408,2018-04-03,Brookline Community Center,77
409,2018-04-03,Warrington Community Center,7
410,2018-04-03,West Penn Community Center,123
411,2018-04-02,Phillips Community Center,162
412,2018-04-02,Ormsby Community Center,31
413,2018-04-02,Paulson Community Center,18
414,2018-04-02,Ammon Community Center,116
415,2018-04-02,Brookline Community Center,68
416,2018-04-02,Jefferson Community Center,31
417,2018-04-02,Magee Community Center,40
418,2018-04-02,West Penn Community Center,63
419,2018-04-02,Warrington Community Center,30
420,2018-03-29,Paulson Community Center,16
421,2018-03-29,Ormsby Community Center,34
422,2018-03-29,Phillips Community Center,83
423,2018-03-29,Ammon Community Center,26
424,2018-03-29,Magee Community Center,39
425,2018-03-29,Jefferson Community Center,18
426,2018-03-29,Brookline Community Center,40
427,2018-03-29,Warrington Community Center,16
428,2018-03-29,West Penn Community Center,120
429,2018-03-28,Phillips Community Center,67
430,2018-03-28,Ormsby Community Center,31
431,2018-03-28,Paulson Community Center,15
432,2018-03-28,Ammon Community Center,66
433,2018-03-28,Brookline Community Center,36
434,2018-03-28,Jefferson Community Center,31
435,2018-03-28,Magee Community Center,25
436,2018-03-28,West Penn Community Center,95
437,2018-03-28,Warrington Community Center,81
438,2018-03-27,Paulson Community Center,16
439,2018-03-27,Ormsby Community Center,35
440,2018-03-27,Phillips Community Center,83
441,2018-03-27,Ammon Community Center,59
442,2018-03-27,Magee Community Center,27
443,2018-03-27,Jefferson Community Center,27
444,2018-03-27,Brookline Community Center,40
445,2018-03-27,Warrington Community Center,35
446,2018-03-27,West Penn Community Center,131
447,2018-03-26,Phillips Community Center,103
448,2018-03-26,Ormsby Community Center,23
449,2018-03-26,Paulson Community Center,22
450,2018-03-26,Ammon Community Center,55
451,2018-03-26,Brookline Community Center,67
452,2018-03-26,Jefferson Community Center,31
453,2018-03-26,Magee Community Center,24
454,2018-03-26,West Penn Community Center,58
455,2018-03-26,Warrington Community Center,17
456,2018-03-24,Phillips Community Center,15
457,2018-03-24,Ammon Community Center,156
458,2018-03-24,Magee Community Center,25
459,2018-03-24,Brookline Community Center,7
460,2018-03-24,West Penn Community Center,42
461,2018-03-23,Phillips Community Center,107
462,2018-03-23,Paulson Community Center,31
463,2018-03-23,Ormsby Community Center,38
464,2018-03-23,Ammon Community Center,100
465,2018-03-23,Brookline Community Center,52
466,2018-03-23,Jefferson Community Center,23
467,2018-03-23,Magee Community Center,82
468,2018-03-23,West Penn Community Center,45
469,2018-03-23,Warrington Community Center,15
470,2018-03-22,Ormsby Community Center,70
471,2018-03-22,Phillips Community Center,119
472,2018-03-22,Ammon Community Center,143
473,2018-03-22,Magee Community Center,41
474,2018-03-22,Jefferson Community Center,13
475,2018-03-22,Brookline Community Center,59
476,2018-03-22,Warrington Community Center,26
477,2018-03-22,West Penn Community Center,58
478,2018-03-21,Phillips Community Center,33
479,2018-03-21,Ormsby Community Center,18
480,2018-03-21,Ammon Community Center,30
481,2018-03-21,Brookline Community Center,24
482,2018-03-21,Jefferson Community Center,4
483,2018-03-21,Magee Community Center,22
484,2018-03-21,West Penn Community Center,31
485,2018-03-21,Warrington Community Center,15
486,2018-03-20,Ormsby Community Center,57
487,2018-03-20,Phillips Community Center,108
488,2018-03-20,Ammon Community Center,145
489,2018-03-20,Magee Community Center,20
490,2018-03-20,Jefferson Community Center,20
491,2018-03-20,Brookline Community Center,70
492,2018-03-20,Warrington Community Center,16
493,2018-03-20,West Penn Community Center,120
494,2018-03-19,Phillips Community Center,172
495,2018-03-19,Ormsby Community Center,33
496,2018-03-19,Ammon Community Center,116
497,2018-03-19,Brookline Community Center,62
498,2018-03-19,Jefferson Community Center,36
499,2018-03-19,Magee Community Center,56
500,2018-03-19,West Penn Community Center,42
501,2018-03-19,Warrington Community Center,18
502,2018-03-17,Phillips Community Center,57
503,2018-03-17,Ammon Community Center,101
504,2018-03-17,Magee Community Center,31
505,2018-03-17,Brookline Community Center,28
506,2018-03-17,West Penn Community Center,33
507,2018-03-16,Phillips Community Center,84
508,2018-03-16,Ormsby Community Center,68
509,2018-03-16,Ammon Community Center,99
510,2018-03-16,Brookline Community Center,49
511,2018-03-16,Jefferson Community Center,21
512,2018-03-16,Magee Community Center,67
513,2018-03-16,West Penn Community Center,49
514,2018-03-16,Warrington Community Center,19
515,2018-03-15,Ormsby Community Center,61
516,2018-03-15,Phillips Community Center,49
517,2018-03-15,Ammon Community Center,105
518,2018-03-15,Magee Community Center,27
519,2018-03-15,Jefferson Community Center,27
520,2018-03-15,Brookline Community Center,29
521,2018-03-15,Warrington Community Center,17
666,2018-02-21,Magee Community Center,57
522,2018-03-15,West Penn Community Center,50
523,2018-03-14,Phillips Community Center,220
524,2018-03-14,Ormsby Community Center,61
525,2018-03-14,Paulson Community Center,29
526,2018-03-14,Ammon Community Center,88
527,2018-03-14,Brookline Community Center,82
528,2018-03-14,Jefferson Community Center,33
529,2018-03-14,Magee Community Center,40
530,2018-03-14,West Penn Community Center,72
531,2018-03-14,Warrington Community Center,31
532,2018-03-13,Paulson Community Center,29
533,2018-03-13,Ormsby Community Center,57
534,2018-03-13,Phillips Community Center,106
535,2018-03-13,Ammon Community Center,91
536,2018-03-13,Magee Community Center,37
537,2018-03-13,Jefferson Community Center,33
538,2018-03-13,Brookline Community Center,62
539,2018-03-13,Warrington Community Center,13
540,2018-03-13,West Penn Community Center,118
541,2018-03-12,Phillips Community Center,118
542,2018-03-12,Ormsby Community Center,64
543,2018-03-12,Paulson Community Center,35
544,2018-03-12,Ammon Community Center,44
545,2018-03-12,Brookline Community Center,68
546,2018-03-12,Jefferson Community Center,32
547,2018-03-12,Magee Community Center,55
548,2018-03-12,West Penn Community Center,42
549,2018-03-12,Warrington Community Center,27
550,2018-03-10,Phillips Community Center,11
551,2018-03-10,Ammon Community Center,171
552,2018-03-10,Magee Community Center,34
553,2018-03-10,Brookline Community Center,62
554,2018-03-10,West Penn Community Center,48
555,2018-03-09,Phillips Community Center,130
556,2018-03-09,Paulson Community Center,28
557,2018-03-09,Ormsby Community Center,72
558,2018-03-09,Ammon Community Center,97
559,2018-03-09,Brookline Community Center,54
560,2018-03-09,Magee Community Center,65
561,2018-03-09,West Penn Community Center,67
562,2018-03-09,Warrington Community Center,33
563,2018-03-08,Ormsby Community Center,38
564,2018-03-08,Paulson Community Center,32
565,2018-03-08,Phillips Community Center,90
566,2018-03-08,Ammon Community Center,102
567,2018-03-08,Magee Community Center,24
568,2018-03-08,Brookline Community Center,77
569,2018-03-08,Warrington Community Center,13
570,2018-03-08,West Penn Community Center,64
571,2018-03-07,Phillips Community Center,139
572,2018-03-07,Paulson Community Center,27
573,2018-03-07,Ormsby Community Center,57
574,2018-03-07,Ammon Community Center,84
575,2018-03-07,Brookline Community Center,76
576,2018-03-07,Magee Community Center,53
577,2018-03-07,West Penn Community Center,72
578,2018-03-07,Warrington Community Center,19
579,2018-03-06,Ormsby Community Center,49
580,2018-03-06,Paulson Community Center,26
581,2018-03-06,Phillips Community Center,143
582,2018-03-06,Ammon Community Center,91
583,2018-03-06,Magee Community Center,26
584,2018-03-06,Brookline Community Center,88
585,2018-03-06,Warrington Community Center,11
586,2018-03-06,West Penn Community Center,104
587,2018-03-05,Phillips Community Center,156
588,2018-03-05,Paulson Community Center,38
589,2018-03-05,Ormsby Community Center,43
590,2018-03-05,Ammon Community Center,26
591,2018-03-05,Brookline Community Center,76
592,2018-03-05,Magee Community Center,51
593,2018-03-05,West Penn Community Center,65
594,2018-03-05,Warrington Community Center,29
595,2018-03-03,Phillips Community Center,59
596,2018-03-03,Ammon Community Center,2
597,2018-03-03,Magee Community Center,15
598,2018-03-03,Brookline Community Center,59
599,2018-03-03,West Penn Community Center,48
600,2018-03-02,Phillips Community Center,158
601,2018-03-02,Ormsby Community Center,36
602,2018-03-02,Paulson Community Center,30
603,2018-03-02,Ammon Community Center,63
604,2018-03-02,Brookline Community Center,59
605,2018-03-02,Magee Community Center,60
606,2018-03-02,West Penn Community Center,54
607,2018-03-02,Warrington Community Center,26
608,2018-03-01,Paulson Community Center,26
609,2018-03-01,Ormsby Community Center,48
610,2018-03-01,Phillips Community Center,121
611,2018-03-01,Ammon Community Center,102
612,2018-03-01,Magee Community Center,25
613,2018-03-01,Brookline Community Center,35
614,2018-03-01,Warrington Community Center,16
615,2018-03-01,West Penn Community Center,103
616,2018-02-28,Phillips Community Center,165
617,2018-02-28,Ormsby Community Center,43
618,2018-02-28,Paulson Community Center,24
619,2018-02-28,Ammon Community Center,81
620,2018-02-28,Brookline Community Center,57
621,2018-02-28,Magee Community Center,32
622,2018-02-28,West Penn Community Center,71
623,2018-02-28,Warrington Community Center,19
624,2018-02-27,Paulson Community Center,26
625,2018-02-27,Ormsby Community Center,52
626,2018-02-27,Phillips Community Center,140
627,2018-02-27,Ammon Community Center,115
628,2018-02-27,Magee Community Center,50
629,2018-02-27,Brookline Community Center,57
630,2018-02-27,Warrington Community Center,24
631,2018-02-27,West Penn Community Center,111
632,2018-02-26,Phillips Community Center,148
633,2018-02-26,Ormsby Community Center,46
634,2018-02-26,Paulson Community Center,29
635,2018-02-26,Ammon Community Center,99
636,2018-02-26,Brookline Community Center,70
637,2018-02-26,Magee Community Center,66
638,2018-02-26,West Penn Community Center,73
639,2018-02-26,Warrington Community Center,22
640,2018-02-24,Phillips Community Center,27
641,2018-02-24,Ammon Community Center,72
642,2018-02-24,Magee Community Center,23
643,2018-02-24,Brookline Community Center,36
644,2018-02-24,West Penn Community Center,39
645,2018-02-23,Phillips Community Center,76
646,2018-02-23,Paulson Community Center,28
647,2018-02-23,Ormsby Community Center,55
648,2018-02-23,Ammon Community Center,87
649,2018-02-23,Brookline Community Center,59
650,2018-02-23,Magee Community Center,65
651,2018-02-23,West Penn Community Center,48
652,2018-02-23,Warrington Community Center,21
653,2018-02-22,Ormsby Community Center,66
654,2018-02-22,Paulson Community Center,31
655,2018-02-22,Phillips Community Center,80
656,2018-02-22,Ammon Community Center,118
657,2018-02-22,Magee Community Center,44
658,2018-02-22,Brookline Community Center,50
659,2018-02-22,Warrington Community Center,20
660,2018-02-22,West Penn Community Center,136
661,2018-02-21,Phillips Community Center,119
662,2018-02-21,Paulson Community Center,26
663,2018-02-21,Ormsby Community Center,48
664,2018-02-21,Ammon Community Center,25
665,2018-02-21,Brookline Community Center,65
667,2018-02-21,West Penn Community Center,74
668,2018-02-21,Warrington Community Center,20
669,2018-02-20,Ormsby Community Center,57
670,2018-02-20,Paulson Community Center,36
671,2018-02-20,Phillips Community Center,121
672,2018-02-20,Ammon Community Center,98
673,2018-02-20,Magee Community Center,43
674,2018-02-20,Brookline Community Center,72
675,2018-02-20,Warrington Community Center,20
676,2018-02-20,West Penn Community Center,118
677,2018-02-19,Phillips Community Center,109
678,2018-02-19,Paulson Community Center,26
679,2018-02-19,Ormsby Community Center,54
680,2018-02-19,Ammon Community Center,102
681,2018-02-19,Brookline Community Center,74
682,2018-02-19,Magee Community Center,80
683,2018-02-19,West Penn Community Center,67
684,2018-02-19,Warrington Community Center,26
685,2018-02-17,Phillips Community Center,9
686,2018-02-17,Magee Community Center,1
687,2018-02-17,West Penn Community Center,34
688,2018-02-16,Phillips Community Center,99
689,2018-02-16,Ormsby Community Center,72
690,2018-02-16,Paulson Community Center,22
691,2018-02-16,Ammon Community Center,112
692,2018-02-16,Magee Community Center,68
693,2018-02-16,Brookline Community Center,52
694,2018-02-16,West Penn Community Center,39
